"","community","communityAreaNum","percentViolentCrimePer1000Population","avgSchoolRating","avgSSLRating","totalParkArea","numHospitals","teenMomRate","infantMortalityRate","hispanic","black","white","asian","other","percentChildrenInPov","ARSON","ASSAULT","BATTERY","BURGLARY","CONCEALED.CARRY.LICENSE.VIOLATION","CRIM.SEXUAL.ASSAULT","CRIMINAL.DAMAGE","CRIMINAL.TRESPASS","DECEPTIVE.PRACTICE","GAMBLING","HOMICIDE","HUMAN.TRAFFICKING","INTERFERENCE.WITH.PUBLIC.OFFICER","INTIMIDATION","KIDNAPPING","LIQUOR.LAW.VIOLATION","MOTOR.VEHICLE.THEFT","NARCOTICS","NON...CRIMINAL","NON.CRIMINAL","NON.CRIMINAL..SUBJECT.SPECIFIED.","NON.VIOLENT.OFFENSE.INVOLVING.CHILDREN","OBSCENITY","OTHER.NARCOTIC.VIOLATION","OTHER.OFFENSE","PROSTITUTION","PUBLIC.INDECENCY","PUBLIC.PEACE.VIOLATION","RITUALISM","ROBBERY","SEX.OFFENSE","STALKING","THEFT","VIOLENT.OFFENSE.INVOLVING.CHILDREN","WEAPONS.VIOLATION"
"1","ROGERS PARK",1,612.372933752796,3.57142857142857,277.6664296,287364.926176417,0,51.6181818181818,6.4,0.24,0.24,0.45,0.05,0.03,0.319509336767547,89,5500,17324,4958,0,429,11151,3743,3798,167,89,0,267,44,70,278,2677,9405,0,2,0,234,10,3,6456,930,2,590,0,4003,474,44,19843,400,793
"2","WEST RIDGE",2,318.659475688749,3.5,286.1914132,725446.172582809,0,31.5272727272727,5.1,0.2,0.13,0.41,0.21,0.04,0.372624026240262,100,4118,11852,5687,1,266,11742,1569,3550,73,47,0,134,42,90,206,3768,3908,0,1,1,206,16,1,5818,139,2,428,0,2493,339,47,18802,365,434
"3","UPTOWN",3,512.43745786168,3.42857142857143,266.0710708,1437615.59300987,4,51.0272727272727,6.5,0.16,0.19,0.51,0.11,0.03,0.278423504120387,71,5470,15148,3510,1,463,8304,3599,5471,95,83,0,162,45,47,235,2980,10591,0,5,0,224,8,3,5526,797,2,832,0,2718,672,32,21757,268,463
"4","LINCOLN SQUARE",4,297.217228369584,4.2,281.7772657,419080.844695478,3,37.9818181818182,3.8,0.18,0.06,0.62,0.1,0.04,0.168878488472872,39,2127,6447,2991,1,163,6132,1116,2413,56,16,0,54,31,45,181,2021,1725,0,3,0,103,3,2,3154,196,4,393,0,1008,243,32,11881,125,163
"5","NORTH CENTER",5,239.087457244171,3.42857142857143,282.6642027,161026.14620738,0,37.0727272727273,2.7,0.11,0.09,0.73,0.04,0.03,0.0586692818346409,45,1484,3757,3508,0,127,4996,1639,2364,30,16,0,45,39,34,117,1636,1422,0,3,0,118,10,0,2295,125,1,188,0,838,142,34,11561,73,122
"6","LAKE VIEW",6,321.486096982028,4.1,287.7657464,783048.638270112,2,21.3909090909091,2.2,0.09,0.03,0.77,0.08,0.03,0.0562689302594772,86,4009,14838,9311,2,534,12566,3519,9585,18,36,1,145,52,34,432,4456,3852,0,13,0,128,12,16,5408,628,8,850,0,4568,518,59,44895,114,269
"7","LINCOLN PARK",7,279.275063946597,2.71428571428571,281.5229682,1544175.36947406,1,9.29090909090909,2.4,0.09,0.04,0.78,0.06,0.03,0.0763260652700584,47,2561,8577,7248,2,298,11230,2920,6432,16,16,1,58,22,46,372,3887,1605,0,1,0,102,4,3,3282,344,8,338,0,2718,373,39,42663,96,165
"8","NEAR NORTH SIDE",8,601.983002832861,4.11111111111111,282.3622348,258310.750237167,2,48.6636363636364,6.5,0.09,0.11,0.67,0.1,0.02,0.221287629648368,63,7547,26913,4812,8,759,13412,12321,20254,103,92,0,407,98,66,571,4396,10005,1,12,0,230,14,7,7450,3914,18,1090,2,5225,591,109,86597,233,707
"9","EDISON PARK",9,136.497720568517,4,268.8789474,84857.8832320172,0,7.55909090909091,4.6,0.07,0.05,0.84,0.03,0.01,0.0270019342359768,12,325,985,308,0,17,1225,147,431,3,1,0,3,9,17,10,156,82,0,0,0,22,2,0,706,6,0,35,0,36,48,6,1286,19,8
"10","NORWOOD PARK",10,167.139345812063,3.875,280.9495708,193963.383695986,1,8.72727272727273,4.4,0.11,0,0.83,0.03,0.02,0.034885696945175,39,1469,3696,1648,0,88,4691,655,1763,14,8,1,20,21,57,50,813,719,0,3,0,142,5,0,2509,34,1,141,0,220,142,16,6893,75,72
"11","JEFFERSON PARK",11,246.384784658912,4,272.443418,72886.5708793751,0,20.1272727272727,8.3,0.21,0.01,0.67,0.09,0.02,0.0805882352941177,36,1395,3529,1629,0,58,3980,660,1537,17,15,0,43,17,42,74,1156,892,3,2,0,148,8,1,2318,10,1,145,0,398,114,24,5757,93,83
"12","FOREST GLEN",12,108.061378863194,4.33333333333333,268.3056604,143108.330272539,0,9.06363636363636,3.8,0.13,0.01,0.73,0.1,0.03,0.0595007052186178,8,495,1095,1235,0,27,2177,235,761,13,4,0,9,4,29,18,426,318,0,2,0,29,0,0,928,8,0,43,0,108,38,11,2866,36,17
"13","NORTH PARK",13,271.596676147454,3,285.9669565,642728.200323499,0,16.4636363636364,5.4,0.23,0.02,0.57,0.17,0.02,0.0896382978723404,36,906,2508,1917,0,79,2930,451,994,27,10,0,20,15,21,58,1130,970,0,1,0,76,4,7,1350,47,0,130,0,449,136,14,5943,62,120
"14","ALBANY PARK",14,371.580458655077,2.66666666666667,289.9816024,112336.17981744,0,60.3727272727273,4.9,0.47,0.04,0.28,0.18,0.03,0.32,97,2934,9989,3601,1,236,7817,1348,1956,62,63,0,105,45,50,271,3266,3148,0,2,0,182,3,6,3845,570,1,560,0,2124,375,27,11259,274,423
"15","PORTAGE PARK",15,336.847358243403,4,278.2982753,290484.638090536,1,36.9545454545455,4.7,0.44,0.02,0.47,0.05,0.02,0.195296989422295,150,4092,11908,5277,1,246,11748,1687,3632,31,30,0,126,53,84,301,4588,5198,1,1,0,270,13,3,6675,364,1,482,0,1852,342,34,18045,292,420
"16","IRVING PARK",16,401.469292902791,3.90909090909091,285.7101375,407516.812966415,1,52.9818181818182,5.3,0.43,0.03,0.43,0.08,0.03,0.140582818762864,151,3609,11656,5612,1,288,10796,1386,2596,44,48,0,91,39,74,214,5344,3453,0,1,0,182,5,1,4708,87,1,593,0,2050,392,44,15642,298,364
"17","DUNNING",17,234.260230849948,2.16666666666667,277.5048077,198450.459154204,1,22.0636363636364,4.9,0.31,0.02,0.62,0.04,0.01,0.154090979182729,68,2094,5593,3211,0,90,6757,767,1883,39,14,0,46,21,60,108,1967,1405,0,1,0,155,6,2,3627,10,0,184,0,670,186,19,8332,113,149
